id,summary,description,labels,components_name,project_name,issue_type_name,priority_name,created_date,assignee
13282971,After node reboot autostart of components takes too much time.,"The reason for this is because ambari-agent does not know start order. And so
if INFRA_SOLR with timeout of 10 hours starts before ZOOKEEPER, which it
requires, it’s a big problem. As well as it blocks agent queue for any other
commands. The solution is to run the commands in parallel. Also for fast
autostart users might want to disable retry_gap: {noformat}/var/lib/ambari-
server/resources/scripts/configs.py -a set -l localhost -n cluster_name -u
admin -p admin -c cluster-env -k retry_gap_in_sec -v 0{noformat}

",pull-request-available,[],AMBARI,Bug,Major,2020-02-03 12:16:34,0
13281670,Components autostart does not work sometimes after ambari-agent restart,"If configurations where cached and didn't change during restart of agent (for some people they always change, they will not see the issue). Recovery didn't get enabled. Until some changes configs/topology changes where done.",pull-request-available,[],AMBARI,Bug,Major,2020-01-27 09:41:53,0
13280160,Ambari doesn't show versions page after invalid repo was added,"Steps to reproduce:
 # Deploy cluster.
 # Add repository version with ""****:****"" as credentials (set skip validation before saving).
 # Try to open versions page.

ambari-server log:
{code:java}
2020-01-18 00:45:14,915 ERROR [ambari-client-thread-388] ReadHandler:99 - Bad request:
 java.util.regex.PatternSyntaxException: Dangling meta character '*' near index 0
 *****:*****
 ^
     at java.util.regex.Pattern.error(Pattern.java:1955)
     at java.util.regex.Pattern.sequence(Pattern.java:2123)
     at java.util.regex.Pattern.expr(Pattern.java:1996)
     at java.util.regex.Pattern.compile(Pattern.java:1696)
     at java.util.regex.Pattern.<init>(Pattern.java:1351)
     at java.util.regex.Pattern.compile(Pattern.java:1028)
     at java.lang.String.replaceFirst(String.java:2178)
     at org.apache.ambari.server.utils.URLCredentialsHider.hideCredentials(URLCredentialsHider.java:48)
     at org.apache.ambari.server.controller.internal.RepositoryResourceProvider.getResources(RepositoryResourceProvider.java:182)
     at org.apache.ambari.server.controller.internal.ClusterControllerImpl$ExtendedResourceProviderWrapper.queryForResources(ClusterControllerImpl.java: 965)
     at org.apache.ambari.server.controller.internal.ClusterControllerImpl.getResources(ClusterControllerImpl.java:139)
     at org.apache.ambari.server.api.query.QueryImpl.doQuery(QueryImpl.java:529)
     at org.apache.ambari.server.api.query.QueryImpl.queryForSubResources(QueryImpl.java:482)
     at org.apache.ambari.server.api.query.QueryImpl.queryForSubResources(QueryImpl.java:503)
     at org.apache.ambari.server.api.query.QueryImpl.queryForSubResources(QueryImpl.java:503)
     at org.apache.ambari.server.api.query.QueryImpl.queryForResources(QueryImpl.java:454)
     at org.apache.ambari.server.api.query.QueryImpl.execute(QueryImpl.java:222)
     at org.apache.ambari.server.api.handlers.ReadHandler.handleRequest(ReadHandler.java:77)
     at org.apache.ambari.server.api.services.BaseRequest.process(BaseRequest.java:144)
     at org.apache.ambari.server.api.services.BaseService.handleRequest(BaseService.java:164)
     at org.apache.ambari.server.api.services.BaseService.handleRequest(BaseService.java:128)
     at org.apache.ambari.server.api.services.ClusterStackVersionService.getClusterStackVersions(ClusterStackVersionService.java:68)
{code}",pull-request-available,['ambari-server'],AMBARI,Bug,Critical,2020-01-17 14:57:20,1
13274731,[ubuntu16] HDP install failed for upgrade from  HDP-3.0.1.0-187 to HDP-3.1.5.0-139,"Package Manager failed to install packages: No package found for
sqoop-$\\{stack_version}(expected name: sqoop-3-1-5-0-139) Traceback (most
recent call last): File ""/var/lib/ambari-
agent/cache/custom_actions/scripts/install_packages.py"", line 493, in
InstallPackages().execute() File ""/usr/lib/ambari-
agent/lib/resource_management/libraries/script/script.py"", line 352, in
execute method(env) File ""/var/lib/ambari-
agent/cache/custom_actions/scripts/install_packages.py"", line 156, in
actionexecute raise Fail(""Failed to distribute repositories/install packages"")
resource_management.core.exceptions.Fail: Failed to distribute
repositories/install packages Live Cluster :
[+http://172.27.120.193:8080/+|http://172.27.120.193:8080/] ambari-server
version : 2.7.5.0-67

",pull-request-available,[],AMBARI,Bug,Major,2019-12-16 10:49:10,0
13273864,Credentials should not be shown on cleartext on Ambari UI,"Please see screenshot attached. Ambari UI - Stack and Versions page shows
username and password in cleartext . We should atleast hide the password Also
in Review page for UI install cc [~accountid:557058:af856db7-a0ad-
4e2b-b848-f11f481bf96f] / [~accountid:5dc59258b6e6b50c58af136b] /
[~accountid:557058:e797d548-8a74-4f63-a68d-616111201b1c]

",pull-request-available,[],AMBARI,Bug,Major,2019-12-11 12:16:50,0
13273682,VDF registration fails with SunCertPathBuilderException: unable to find valid certification path to requested target' on HTTPS cluster ,"Retrying deploy with latest build after BUG-122455 was fixed Here Stack
registration is failing with {code} An internal system exception occurred:
Could not load url from https://1055c7c3-1b7b-
43f6-80a7-3e72cb0f8912:Cloudera_TechPreview2@archive-test.cloudera.com/p/HDP-
GPL/centos7/3.x/BUILDS/3.1.5.0-139/repodata/repomd.xml.
sun.security.validator.ValidatorException: PKIX path building failed:
sun.security.provider.certpath.SunCertPathBuilderException: unable to find
valid certification path to requested target {code} 172.27.74.1 is a live node
where issue has occurred.

",pull-request-available,[],AMBARI,Bug,Major,2019-12-10 18:24:38,0
13273376,Deploy fails with 401:Unauthorized on HDP-GPL,"We are trying to deploy with paywalled repos of HDP and Ambari (ones supplied
in RELENG-7654) but deploy is failing at client install with {code}
RuntimeError: Failed to execute command '/usr/bin/yum -y install hdp-select',
exited with code '1', message: 'https://****:****@archive-test.cloudera.com/p
/HDP-GPL/centos7/3.x/BUILDS/3.1.5.0-139/repodata/repomd.xml: [Errno 14] HTTPS
Error 401 - Unauthorized {code} This url is accessible with credentials RE has
supplied ie; https://1055c7c3-1b7b-
43f6-80a7-3e72cb0f8912:Cloudera_TechPreview2@archive-test.cloudera.com/p/HDP-
GPL/centos7/3.x/BUILDS/3.1.5.0-139/repodata/repomd.xml So not sure which
credential is Ambari picking as from the error it looks like the credentials
Ambari is using on this repo is incorrect. Could you please take a look Live
cluster : http://172.27.136.132:8080/ Repo urls used here for deploy: Ambari :
https://1055c7c3-1b7b-43f6-80a7-3e72cb0f8912:Cloudera_TechPreview2@archive-
test.cloudera.com/p/ambari/2.7.5.0-64/centos7/ambaribn.repo HDP:
https://1055c7c3-1b7b-43f6-80a7-3e72cb0f8912:Cloudera_TechPreview2@archive-
test.cloudera.com/p/HDP/centos7/3.x/BUILDS/3.1.5.0-139 cc
[~accountid:557058:af856db7-a0ad-
4e2b-b848-f11f481bf96f]/[~accountid:5dc59258b6e6b50c58af136b]

",pull-request-available,[],AMBARI,Bug,Major,2019-12-09 13:21:41,0
13271936,Server sets blueprint_provisioning_state for component to finished before start command execution,"Server sends host level parameters update with blueprint_provisioning_state=""FINISHED"" right after start execution command generation. This may led to performing of autostart command on the agent side before execution of start command.",pull-request-available,['ambari-server'],AMBARI,Bug,Blocker,2019-12-03 12:40:00,1
13271267,No Validation error on UI for an 'Unauthorized' repo url,UI should show error for URLs if credentials are required but missed there.,pull-request-available,['ambari-server'],AMBARI,Bug,Blocker,2019-11-28 17:12:06,1
13271187,Ambari should add login and password to urls populated from VDF,"This was pointed out in https://cloudera.slack.com/archives/CQYUPAV7A chat and
we decided that it would be un-secure for RelEng to store login/password
inside url's in VDF's, hence ambari should add that to url's itself.

",pull-request-available,[],AMBARI,Bug,Major,2019-11-28 11:03:40,0
