id,summary,description,labels,components_name,project_name,issue_type_name,priority_name,created_date,assignee
13326258,Don't adjust nodeCount when setting node id topology in in-jvm dtests,"We update the node count when setting the node id topology in in-jvm dtests, this should only happen if node count is smaller than the node id topology, otherwise bootstrap tests error out.",pull-request-available,['Test/dtest/java'],CASSANDRA,Improvement,Low,2020-09-07 07:49:30,0
13325867,Make sure we don't throw any uncaught exceptions during in-jvm dtests,We should assert that we don't throw any uncaught exceptions when running in-jvm dtests,pull-request-available,['Test/dtest/java'],CASSANDRA,Improvement,Normal,2020-09-03 07:55:11,0
13325605,Avoid marking shutting down nodes as up after receiving gossip shutdown message,"We have two recent failures for this test on trunk: 

1.) https://app.circleci.com/pipelines/github/maedhroz/cassandra/102/workflows/37ed8dab-9da4-4730-a883-20b7a99d88b4/jobs/518/tests (CASSANDRA-15909)
2.) https://app.circleci.com/pipelines/github/jolynch/cassandra/6/workflows/41e080e0-d7ff-4256-899e-b4010c6ef5ab/jobs/716/tests (CASSANDRA-15379)

The test expects there to be mismatches and then read repair executed on a following SELECT, but either those mismatches aren’t there, read repair isn’t happening, or both.",dtest incremental_repair repair,['Test/dtest/python'],CASSANDRA,Bug,Normal,2020-09-01 20:20:44,0
13309380,Add bytebuddy support for in-jvm dtests,"Old python dtests support byteman, but that is quite horrible to work with, [bytebuddy|https://bytebuddy.net/#/] is much better, so we should add support for that in the in-jvm dtests.",pull-request-available,['Test/dtest/java'],CASSANDRA,Improvement,Normal,2020-06-04 07:46:47,0
13279543,Run in-jvm upgrade dtests in circleci,We should run the in-jvm upgrade dtests in circleci,CI,"['CI', 'Test/dtest/java']",CASSANDRA,Improvement,Normal,2020-01-15 09:50:09,0
13265329,Use multiple data directories in the in-jvm dtests,We should default to using 3 data directories when running the in-jvm dtests.,pull-request-available,"['Local/Compaction', 'Test/dtest/java']",CASSANDRA,Improvement,Normal,2019-10-30 15:59:58,0
13194386,Make it possible to connect with user/pass + port in fqltool replay,We also need to close the executor service,fqltool security,['Legacy/Tools'],CASSANDRA,Improvement,Normal,2018-10-26 11:24:57,0
13183061,Add dtests for fqltool replay/compare,We should add some basic round-trip dtests for {{fqltool replay}} and {{compare}},fqltool,[],CASSANDRA,Improvement,Normal,2018-09-05 07:34:28,0
13181958,Log the actual (if server-generated) timestamp and nowInSeconds used by queries in FQL,"FQL doesn't currently log the actual timestamp - in microseconds - if it's been server generated, nor the nowInSeconds value. It needs to, to allow for - in conjunction with CASSANDRA-14664 and CASSANDRA-14671 - deterministic playback tests.",fqltool,[],CASSANDRA,Improvement,Normal,2018-08-29 17:41:40,1
13181627,Use consistent nowInSeconds and timestamps values within a request,"We don't currently use consistent values of {{nowInSeconds}} and {{timestamp}} in the codebase, and sometimes generate several server-side timestamps for each in the same request. {{QueryState}} should cache the values it generated so that the same values are used for the duration of write/read.",fqltool,[],CASSANDRA,Improvement,Low,2018-08-28 14:56:08,1
13181056,Allow providing and overriding nowInSeconds via native protocol,"For FQL replay testing, to allow for deterministic and repeatable workload replay comparisons, we need to be able to set custom nowInSeconds via native protocol - primarily to control TTL expiration, both on read and write paths.",fqltool protocolv5,[],CASSANDRA,New Feature,Low,2018-08-24 20:57:29,1
13179969,Full query log needs to log the keyspace,"If the full query log is enabled and a set of clients have already executed ""USE <ks>"" we can't figure out which keyspace the following queries are executed against.

We need this for CASSANDRA-14618",fqltool,[],CASSANDRA,New Feature,Normal,2018-08-20 14:12:52,0
13177705,Clean up cache-related metrics,"{{ChunkCache}} added {{CacheMissMetrics}} which is an almost exact duplicate of pre-existing {{CacheMetrics}}. I believe it was done initially because the authors thought there was no way to register hits with {{Caffeine}}, only misses, but that's not quite true. All we need is to provide a {{StatsCounter}} object when building the cache and update our metrics from there.

The patch removes the redundant code and streamlines chunk cache metrics to use more idiomatic tracking.",virtual-tables,[],CASSANDRA,Improvement,Low,2018-08-08 15:39:38,1
13177410,Expose buffer cache metrics in caches virtual table,"As noted by [~blerer] in CASSANDRA-14538, we should expose buffer cache metrics in the caches virtual table.",virtual-tables,[],CASSANDRA,New Feature,Low,2018-08-07 13:43:52,1
13176473,Create fqltool compare command,"We need a {{fqltool compare}} command that can take the recorded runs from CASSANDRA-14618 and compares them, it should output any differences and potentially all queries against the mismatching partition up until the mismatch",fqltool,[],CASSANDRA,New Feature,Normal,2018-08-02 17:06:02,0
13176472,Create fqltool replay command,"Make it possible to replay the full query logs from CASSANDRA-13983 against one or several clusters. The goal is to be able to compare different runs of production traffic against different versions/configurations of Cassandra.

* It should be possible to take logs from several machines and replay them in ""order"" by the timestamps recorded
* Record the results from each run to be able to compare different runs (against different clusters/versions/etc)
* If {{fqltool replay}} is run against 2 or more clusters, the results should be compared as we go",fqltool,[],CASSANDRA,New Feature,Normal,2018-08-02 17:04:29,0
13175351,Flaky dtest: nodetool_test.TestNodetool.test_describecluster_more_information_three_datacenters,"@jay zhuang observed nodetool_test.TestNodetool.test_describecluster_more_information_three_datacenters being flaky in Apache Jenkins. I ran locally and got a different flaky behavior:

{noformat}
        out_node1_dc3, err, _ = node1_dc3.nodetool('describecluster')
        assert 0 == len(err), err
>       assert out_node1_dc1 == out_node1_dc3
E       AssertionError: assert 'Cluster Info...1=3, dc3=1}\n' == 'Cluster Infor...1=3, dc3=1}\n'
E           Cluster Information:
E           	Name: test
E           	Snitch: org.apache.cassandra.locator.PropertyFileSnitch
E           	DynamicEndPointSnitch: enabled
E           	Partitioner: org.apache.cassandra.dht.Murmur3Partitioner
E           	Schema versions:
E           		fc9ec7cd-80ba-3f27-87af-fc0bafcf7a03: [127.0.0.6, 127.0.0.5, 127.0.0.4, 127.0.0.3, 127.0.0.2, 127.0.0.1]...
E         
E         ...Full output truncated (26 lines hidden), use '-vv' to show


09:58:14,357 ccm DEBUG Log-watching thread exiting.
===Flaky Test Report===

test_describecluster_more_information_three_datacenters failed and was not selected for rerun.
	<class 'AssertionError'>
	assert 'Cluster Info...1=3, dc3=1}\n' == 'Cluster Infor...1=3, dc3=1}\n'
    Cluster Information:
    	Name: test
    	Snitch: org.apache.cassandra.locator.PropertyFileSnitch
    	DynamicEndPointSnitch: enabled
    	Partitioner: org.apache.cassandra.dht.Murmur3Partitioner
    	Schema versions:
    		fc9ec7cd-80ba-3f27-87af-fc0bafcf7a03: [127.0.0.6, 127.0.0.5, 127.0.0.4, 127.0.0.3, 127.0.0.2, 127.0.0.1]...
  
  ...Full output truncated (26 lines hidden), use '-vv' to show
	[<TracebackEntry /opt/orig/1/opt/dev/cassandra-dtest/nodetool_test.py:373>]

===End Flaky Test Report===
{noformat}

As this test is for a patch that was introduced for 4.0, this dtest (should) only be failing on trunk.",dtest,"['Test/dtest/python', 'Tool/nodetool']",CASSANDRA,Task,Low,2018-07-28 17:48:36,0
13174881,[dtest] test_sstableofflinerelevel - offline_tools_test.TestOfflineTools,"consistently failing dtest on 3.0 (no other branches). Output from pytest:

{noformat}
        output, _, rc = node1.run_sstableofflinerelevel(""keyspace1"", ""standard1"")
>       assert re.search(""L0=1"", output)
E       AssertionError: assert None
E        +  where None = <function search at 0x7f99afffbe18>('L0=1', 'New leveling: \nL0=0\nL1 10\n')
E        +    where <function search at 0x7f99afffbe18> = re.search

offline_tools_test.py:160: AssertionError
{noformat}
",dtest,['Test/dtest/python'],CASSANDRA,Bug,Low,2018-07-26 14:59:46,0
13174868,[dtest] test_functional - global_row_key_cache_test.TestGlobalRowKeyCache,"dtest fails all the time on 3.0, but not other branches. Error from pytest output:

{code}
test teardown failure
Unexpected error found in node logs (see stdout for full details). Errors: [WARN  [main] 2018-07-23 18:53:10,075 Uns.java:169 - Failed to load Java8 implementation ohc-core-j8 : java.lang.NoSuchMethodException: org.caffinitas.ohc.linked.UnsExt8.<init>(java.lang.Class), WARN  [main] 2018-07-23 18:53:56,966 Uns.java:169 - Failed to load Java8 implementation ohc-core-j8 : java.lang.NoSuchMethodException: org.caffinitas.ohc.linked.UnsExt8.<init>(java.lang.Class), WARN  [main] 2018-07-23 18:55:54,508 Uns.java:169 - Failed to load Java8 implementation ohc-core-j8 : java.lang.NoSuchMethodException: org.caffinitas.ohc.linked.UnsExt8.<init>(java.lang.Class), WARN  [main] 2018-07-23 18:56:42,688 Uns.java:169 - Failed to load Java8 implementation ohc-core-j8 : java.lang.NoSuchMethodException: org.caffinitas.ohc.linked.UnsExt8.<init>(java.lang.Class), WARN  [main] 2018-07-23 18:53:10,075 Uns.java:169 - Failed to load Java8 implementation ohc-core-j8 : java.lang.NoSuchMethodException: org.caffinitas.ohc.linked.UnsExt8.<init>(java.lang.Class)]
{code}",dtest,['Test/dtest/python'],CASSANDRA,Bug,Normal,2018-07-26 14:32:40,0
