id,summary,description,labels,components_name,project_name,issue_type_name,priority_name,created_date,assignee
13167388,Expose gradle configuration properties in config.xml to assist aligning Google Play Services / Firebase,"I am a full-time plugin developer.  Like many other plugins, I import Google Play Services dependencies in addition to Android Support libraries (appcompat-v7).

By far the biggest problem I encounter with my users is [Gradle conflicts|https://github.com/transistorsoft/cordova-background-geolocation-lt/issues?utf8=%E2%9C%93&q=android+build+error] due to multiple plugins importing different versions of {color:#333333}play-services / Firebase / com.android.support{color} libraries.

Many plugin authors do the wrong thing and simply use version "":+"", eg: [cordova-plugin-firebase|https://github.com/arnesson/cordova-plugin-firebase/blob/master/plugin.xml#L61-L67]].

Quite often, my solution for these users is to [edit platforms/android/project.properties|https://github.com/transistorsoft/cordova-background-geolocation-lt/issues/699#issuecomment-396083457]*_,_* which is not the best long-term solution, since this file is _volatile_.

What I've been doing since cordova@7.1.0 is [expose custom config properties in my plugins' plugin.xml|https://github.com/transistorsoft/cordova-background-geolocation-lt/blob/master/plugin.xml#L98-L101].  This is nice, but users must align their google-play / Firebase / Support dependencies [for each plugin that exposes these|https://github.com/transistorsoft/cordova-background-geolocation-lt#configuring-play-services-version] helpful properties (and not many plugins do).

 

What would *_really_* help, is if cordova-android could expose variables in the app's config.xml in the same manner as:
 * cdvCompileSdkVersion
 * cdvBuildToolsVersion
 * cdvMinSdkVersion

I would like to see the following properties added:
 * cdvGooglePlayServicesVersion
 * cdvSupportLibVersion

(Note:  cdvGooglePlayServicesVersion could be named cdvGoogleApiVersion as a more common name, since both Firebase and Google Play Services dependencies must be aligned to the same version.)

I would like to be able to access these properties in my plugin's [plugin.xml here|https://github.com/transistorsoft/cordova-background-geolocation-lt/blob/master/plugin.xml#L99]] instead of using my plugin's custom $GOOGLE_API_VERSION variable.

In a React Native app, which provides direct control over one's top-level build.gradle, we do it [like this|https://github.com/transistorsoft/rn-background-geolocation-demo/blob/master/android/build.gradle#L33-L38]].  3rd-party plugins then check for the existence of these Gradle Config Properties when importing their Google dependencies, [like this|https://github.com/transistorsoft/react-native-background-geolocation/blob/master/android/build.gradle#L33].

This technique is also recommend at android.developer.com in the document [Gradle Tips and Tricks|https://developer.android.com/studio/build/gradle-tips] (search ""project-wide properties"")

 ",build,['cordova-android'],CB,Improvement,Major,2018-06-21 13:01:00,0
13166090,cordova-ios Podfile template only escape first occurrence of single quote in the project name,The Podfile template escape the first occurrence of single quotes for project names when generating the Podfile. This will cause a syntax error in the Podfile since the target and project are single quoted strings. The solution is to escape the single quotes in the project name before writing them to the Podfile.,ios,['cordova-ios'],CB,Bug,Minor,2018-06-14 12:34:36,1
13161372,StatusBar Plugin does not work correctly on Samsung S9,"I have a cordova project and I installed the StatusBar plugin to color the status bar of the device in the Android platform. The plugin displays the correct status bar color if I run the project on an AVD (pic1), but when I run it on the device it does not appear to work.

I also noticed that when I run the project on device with the plug in uninstalled the view takes up the entire screen, but if I run it with the plugin installed there is black space between the app view and the top and bottom of the phone's nav bar and status bar (pic2).

Update:

When turned to portrait mode, the coloured status bar appears, but incorrectly (pic3).

Device: Samsung S9 running Android 8.0.0 (Oreo)
 Cordova version: 8.0.0
 StatusBar plugin version: 2.4.2
 Cordova whitelist plugin: 1.3.3

 

Index.js code:
{code:java}
var app = {
    initialize: function() { 
        document.addEventListener('deviceready', this.onDeviceReady.bind(this), false); 
    },
    onDeviceReady: function() { 
        this.receivedEvent('deviceready'); 
        StatusBar.backgroundColorByHexString(""#CF4D4D""); 
    },
    receivedEvent: function(id) { } 
}; 
app.initialize();
{code}",features plug-in plugin,"['cordova-android', 'cordova-plugin-statusbar']",CB,Bug,Major,2018-05-23 10:27:42,0
13157324,Build path changed and broke Visual Studio deployment process,"The *output path* for the built APK was like this on _cordova-android 6.3.0_ and *everything worked perfectly*:

{color:#14892c}/platforms/android/build/outputs/apk/android-debug.apk{color}

The new output path since _cordova-android 6.4.0_ now includes a debug subdir:

{color:#14892c}/platforms/android/build/outputs/apk/{color:#d04437}debug{color}/android-debug.apk{color}

{color:#333333}As a result, the APK can no longer be deployed to device nor emulator, nor debugged, nor run by any means in *Visual Studio 2017*.{color}

{color:#333333}If this change has been intentional to benefit the _Android Studio_ IDE, the Visual Studio (which includes far better support for Cordova apps) users are now totally lost.{color}

{color:#333333}*Android Studio does not provide a SINGLE menu item related to Apache Cordova. Breaking Visual Studio support in benefit of Android Studio is exactly the opposite that should be done. I hope this was not the case.*
{color}

{color:#333333}Kindly let me know how do we deploy an APK from Visual Studio now, even if it requires external hacks and workarounds to make it work like before. Thanks in advance.{color}",easyfix,['cordova-android'],CB,Bug,Major,2018-05-05 00:23:00,0
13153644,Cordova Android not building because Java 10,"When running {{cordova build android}} I get following error:
{code:java}
(node:11503) UnhandledPromiseRejectionWarning: CordovaError: Requirements check failed for JDK 1.8 or greater
    at /home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/lib/check_reqs.js:370:19
    at _fulfilled (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:854:54)
    at self.promiseDispatch.done (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:883:30)
    at Promise.promise.promiseDispatch (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:816:13)
    at /home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:624:44
    at runSingle (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:137:13)
    at flush (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:125:13)
    at process._tickCallback (internal/process/next_tick.js:176:11)
(node:11503) UnhandledPromiseRejectionWarning: Unhandled promise rejection. This error originated either by throwing inside of an async function without
a catch block, or by rejecting a promise which was not handled with .catch(). (rejection id: 1)
(node:11503) [DEP0018] DeprecationWarning: Unhandled promise rejections are deprecated. In the future, promise rejections that are not handled will terminate the Node.js process with a non-zero exit code.
{code}

I investigated a little bit and it seems that regex at {{./platforms/android/cordova/lib/check_reqs.js}}, line 220 doesnt recognize java version correctly. Problem is that {{javac --version}} outputs {{javac 10}} instead of assumed {{javac 1.10.0}}. Simple change in regex would fix this.

",cordova-8.0.0 cordova-android java linux,['cordova-android'],CB,Bug,Major,2018-04-19 10:15:14,0
13153596,Programming error in cordova-android check_reqs.js,"*Programming error in check_reqs.js, line 130*

programmer doesnt iterate through a directory for gradle, checks only for first entry

 

{{    var dirs = fs.readdirSync(androidStudioPath);}}
{{    if (dirs[0].split('-')[0] === 'gradle') {}}
{{         return path.join(androidStudioPath, dirs[0], 'bin', 'gradle');}}
{{     }}}

*working solution*

{{    var dirs = fs.readdirSync(androidStudioPath);}}
{{    for (var i = 0; i< dirs.length ; i++){}}
{{         if (dirs[i].split('-')[0] === 'gradle') }}
{{             return path.join(androidStudioPath, dirs[i], 'bin', 'gradle');}}
{{     }}}",easyfix,['cordova-android'],CB,Bug,Major,2018-04-19 06:15:01,0
13152613,"Android app crashed with ""Connection  InterfaceProviderSpec prevented service: content_renderer from binding interfac e: blink::mojom::BudgetService exposed by: content_browser""","Android application crashed due to below error
03-24 13:34:42.182 E/chromium( 4831): [ERROR:service_manager.cc(156)] Connection
 InterfaceProviderSpec prevented service: content_renderer from binding interfac
e: blink::mojom::BudgetService exposed by: content_browser
...
03-24 13:34:42.218 E/chromium( 4831): [ERROR:BudgetService.cpp(167)] Unable to c
onnect to the Mojo BudgetService.",ERROR:BudgetService.cpp,['cordova-android'],CB,Bug,Major,2018-04-16 05:41:42,0
13150588,App lagging issue in android,"I am trying to make a cross platform app. I am using html5, js and css in that app. I am facing an issue with android version of the app. App is working fine on iOS but lagging in android. I tried some solutions but could not find any..",newbie performance windows,['cordova-android'],CB,Bug,Major,2018-04-06 13:09:56,0
13150236,Make com.android.support:support-v4 version configurable,"Cordova build fails with exception:
 :processDebugResourcesERROR: In <declare-styleable> FontFamilyFont, unable to find attribute android:fontVariationSettings
 ERROR: In <declare-styleable> FontFamilyFont, unable to find attribute android:ttcIndex


 This can be fixed in plugin.xml by upgrading 

<framework src=""com.android.support:support-v4:24.1.1+"" />

to a higher version like 27.0.1 or downgrading to 23.+.

 

Examples (tested):

<framework src=""com.android.support:support-v4:27.0.1"" />

or

<framework src=""com.android.support:support-v4:23.+"" />",easyfix,['cordova-plugin-camera'],CB,Bug,Major,2018-04-05 08:26:47,2
13148636,documented cordova plugin resource location breaks builds,"The latest documentation for plugin.xml specifies an example target of ""res/values/FooPluginStrings.xml"" ( [https://cordova.apache.org/docs/en/latest/plugin_ref/spec.html#resource-file|https://cordova.apache.org/docs/en/latest/plugin_ref/spec.html#resource-file)] ) however this location causes errors as it implies the older project style as in those created pre cordova-android 7. Builds then fail.

Specifically the presence of a res directory causes cordova-android to assume an eclipse / non android studio project in [cordova-android/framework/src/org/apache/cordova/]AndroidStudio.js:26 which in turn causes cordova to look for the [root]/AndroidManifest.xml via [cordova-android/framework/src/org/apache/cordova/]AndroidProject.js:96. However since cordova-android now no longer creates the [root]/AndroidManifest.xml file builds fail.

I do not know where the new location should be. Poking arround android studio my best guess for this example would be ""app/src/main/res/values/FooPluginStrings.xml"" however I am unsure if this is actually correct.

 ",documentation,"['cordova-android', 'cordova-docs']",CB,Task,Minor,2018-03-28 17:16:59,0
