id,summary,description,labels,components_name,project_name,issue_type_name,priority_name,created_date,assignee
13391832,Reduce retry in Kubernetes test,"_kubernetes_ tests wait for cluster startup, checking some conditions with retry.  In worst case all conditions are checked 100 times with 3 seconds delay, so the test may take 15 minutes to fail.",pull-request-available,['test'],HDDS,Improvement,Minor,2021-07-26 08:29:14,0
13391786,Disable failing kubernetes test,"_kubernetes_ check is failing in CI at {{ozone}}.  It is probably related to persistent volumes.  I propose to disable the failing test temporarily, until it can be fixed.

Last successful run: https://github.com/apache/ozone/runs/3137129344
First failed run: https://github.com/apache/ozone/runs/3140001398

SCM init container fails to start due to:

{code}
Unable to create directory /data/metadata specified in configuration setting ozone.metadata.dirs
{code}",pull-request-available,"['kubernetes', 'test']",HDDS,Task,Major,2021-07-26 05:18:12,0
13391581,Install OS-specific flekszible,"{{kubernetes.sh}} installs {{flekszible}} for Linux, even on other platforms.",pull-request-available,['kubernetes'],HDDS,Bug,Major,2021-07-23 14:14:25,0
13391111,Bump jetty version to 9.4.41.v20210516,Please see: https://github.com/apache/ozone/pull/2449,pull-request-available,[],HDDS,Improvement,Major,2021-07-21 10:53:14,1
13390913,Bump Apache Ratis version to 2.1,Please see: https://github.com/apache/ozone/pull/2443,pull-request-available,[],HDDS,Improvement,Major,2021-07-20 11:35:39,1
13390903,Avoid long sleep in TestPeriodicVolumeChecker,TestPeriodicVolumeChecker requires at least 130 seconds due to two long sleeps.,pull-request-available,['test'],HDDS,Bug,Major,2021-07-20 10:52:55,0
13390689,Multi-raft style placement with permutations for offline data generator,Please see: https://github.com/apache/ozone/pull/2434,pull-request-available,[],HDDS,Improvement,Major,2021-07-19 12:06:29,1
13389978,Avoid refresh pipeline for S3 headObject,"S3 head uses OM API lookup key which refreshes pipeline info by contacting SCM.

For S3 head we donot require any pipeline info, we need very basic details like length, type, etag and last modification time. 

By removing pipeline info which is not required for HEAD object, HEAD API performance can be improved.

This is identified during looking up graphs from [~kerneltime] testing",pull-request-available,"['OM', 'S3']",HDDS,Improvement,Major,2021-07-16 07:25:11,2
13389655,Datanode HTTP server fails to start in ozonesecure due to wrong keytab name,"{noformat}
[main] ERROR ozone.HddsDatanodeService: HttpServer failed to start.
...
Caused by: javax.servlet.ServletException: Keytab does not exist: /etc/security/keytabs/datanode.keytab
{noformat}",pull-request-available,['test'],HDDS,Bug,Minor,2021-07-14 15:41:43,0
13389649,Disallow same set of DNs to be part of multiple pipelines,"Currently, with multi raft feature ON, a data node can participate in multiple pipelines. But, same set of dns can be part of multiple pipelines . This leads to 2 problems:

1) In case of let's say 5 datanodes, as and when 3 datanodes register initially with multi-raft feature ON, those 3 datanodes will pair among themselves to create two pipelines thereby satisfying the default pipeline limit of 2 per dn. Next datanodes even after registering cannot take part in writes bcoz it needs a 6th datanode to come up to form the nest tri-set , thereby remain unutilized.

2) With same set of Datanodes being part of multiple plpelines, if one datanode fails, the source for container re-replication will be only the other set of 2 nodes and can beocme a bottleneck.

3) This uneven distribution of pipelines among dns will lead to load distribution getting uneven as well.

 

 ",pull-request-available,['SCM'],HDDS,Bug,Major,2021-07-14 14:55:59,3
13389417,Add acceptance test for Hadoop 3.3,"Hadoop 3.3 support was recently added (HDDS-3292) in Ozone.  We should run Hadoop/MapReduce acceptance tests for this version, too.",pull-request-available,['test'],HDDS,Task,Major,2021-07-13 15:25:57,0
13389400,Reduce usage of OmKeyLocationInfoGroup.getLocationList(),"Follow-up of HDDS-5384: check usages of {{OmKeyLocationInfoGroup.getLocationList()}} and {{getLocationListCount()}}, and replace with cheaper calls if possible.",performance,['OM'],HDDS,Improvement,Major,2021-07-13 14:05:32,0
13388403,Avoid eager string formatting in preconditions,"Some calls to {{Preconditions.check...}} eagerly format the error message, resulting in unnecessary allocations.",pull-request-available,[],HDDS,Improvement,Minor,2021-07-08 13:27:42,0
13388000,Intermittent test failure in TestSCMPipelineManager#testPipelineReload,"Failure first noticed in this CI run on upgrade branch: https://github.com/apache/ozone/runs/2969789739

Was able to reproduce failure on master after about 100 runs of the test locally.",pull-request-available,[],HDDS,Bug,Major,2021-07-06 18:56:16,0
13387882,Data buffers incorrectly filtered for Ozone Insight,"{{ozone insight logs -v datanode.dispatcher}} prints binary data ({{buffers: ""4w7u1Zp8@{""}})

{noformat}
[TRACE|org.apache.hadoop.ozone.container.common.impl.HddsDispatcher|OzoneProtocolMessageDispatcher] [service=DatanodeClient] [type=ReadChunk] request is processed. Response:
cmdType: ReadChunk
traceID: """"
result: SUCCESS
readChunk {
  blockID {
    containerID: 1
    localID: 107544261427200009
    blockCommitSequenceId: 34
  }
  chunkData {
    chunkName: ""107544261427200009_chunk_1""
    offset: 0
    len: 10
    checksumData {
      type: CRC32
      bytesPerChecksum: 1048576
      checksums: ""354d261247""
    }
  }
  dataBuffers {
    buffers: ""4w7u1Zp8@{""
    buffers: ""<redacted>""
  }
}
{noformat}",pull-request-available,['Ozone Datanode'],HDDS,Bug,Major,2021-07-06 09:28:40,0
13386148,Return latest version of key location for client on createKey/createFile,"HDDS-5243 was a patch for omitting unnecessary key locations for clients on reading. But the same warning of large response size observed in our cluster for putting data. The patch can also be ported for putting data, as long as until object versioning is supported.

My hypothesis is: The large message was originally, and possibly maybe due to this warning and sudden connection close from client side on reading large message in Hadoop IPC layer, from Ozone Manager - which causes hopeless 15 retries from RetryInvocationHandler. The retries create another entry in OpenKeyTable but they never moved to KeyTable because the key never gets commited.",pull-request-available,['Ozone Client'],HDDS,Improvement,Major,2021-06-28 03:36:14,2
13386025,Avoid catching Error while creating Ozone client,"{{OzoneClientProducer}} catches any {{Throwable}} while creating the Ozone client and logs it at debug level.  I think this should be avoided for OOME at least, possibly other {{Error}} types.",pull-request-available,['S3'],HDDS,Bug,Major,2021-06-26 19:52:08,0
13385599,SCM terminated with exit status 1: null,"steps taken :
Running ozone fault injection tests which involve activating/deactivating pipelines.
In one of the tests, while activating pipeline, SCM terminated.SCM log:
{code:java}
2021-06-23 23:57:03,166 WARN org.apache.hadoop.hdds.scm.pipeline.PipelineStateManager: Pipeline PipelineID=661b906a-fd6b-4c14-b6b5-8c0a12c67ff7 is not found in the pipeline Map. Pipeline may have been deleted already.
2021-06-23 23:57:03,168 ERROR org.apache.ratis.statemachine.StateMachine: Terminating with exit status 1: null
java.lang.IllegalMonitorStateException
	at java.base/java.util.concurrent.locks.ReentrantReadWriteLock$Sync.tryRelease(ReentrantReadWriteLock.java:372)
	at java.base/java.util.concurrent.locks.AbstractQueuedSynchronizer.release(AbstractQueuedSynchronizer.java:1302)
	at java.base/java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock.unlock(ReentrantReadWriteLock.java:1147)
	at org.apache.hadoop.hdds.scm.pipeline.PipelineStateManagerV2Impl.updatePipelineState(PipelineStateManagerV2Impl.java:270)
	at jdk.internal.reflect.GeneratedMethodAccessor101.invoke(Unknown Source)
	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
	at org.apache.hadoop.hdds.scm.ha.SCMStateMachine.process(SCMStateMachine.java:168)
	at org.apache.hadoop.hdds.scm.ha.SCMStateMachine.applyTransaction(SCMStateMachine.java:139)
	at org.apache.ratis.server.impl.RaftServerImpl.applyLogToStateMachine(RaftServerImpl.java:1690)
	at org.apache.ratis.server.impl.StateMachineUpdater.applyLog(StateMachineUpdater.java:234)
	at org.apache.ratis.server.impl.StateMachineUpdater.run(StateMachineUpdater.java:179)
	at java.base/java.lang.Thread.run(Thread.java:834)
2021-06-23 23:57:03,174 INFO org.apache.hadoop.hdds.scm.server.StorageContainerManagerStarter: SHUTDOWN_MSG: 
{code}",pull-request-available,['SCM HA'],HDDS,Bug,Major,2021-06-24 11:04:29,3
13384801,EC: Adopt EC related utility from Hadoop source repository,"It seems only a few key classes are required from Apache Hadoop to be reused. The goal here is investigating the build process and check how they can be re-used. 

One option is just copy the files with some minor updates (e.g. using ConfigurationSource interface instead of o.a.hadoop.Configuration) which would help to reduce dependencies.",pull-request-available,[],HDDS,Sub-task,Major,2021-06-21 07:57:02,1
