id,summary,description,labels,components_name,project_name,issue_type_name,priority_name,created_date,assignee
13392046,Thin 3.0: Live Schema,Implement live schema support in ClientTupleBuilder. See LiveSchemaTupleBuilderImpl for reference. This mode should be activated only when schemaMode is LIVE_SCHEMA - we'll need to propagate table properties to the client.,ignite-3,['thin client'],IGNITE,Improvement,Major,2021-07-27 07:21:05,0
13390733,Fix javadoc in Schema and Table modules.,"Let's fix Javadoc styles regarding the policy.

Startpoint is to remove modules from excludes and run 

{code:java}
mvn clean checkstyle:checkstyle-aggregate -P javadoc-public-api
{code}
",ignite-3,[],IGNITE,Bug,Major,2021-07-19 15:04:18,1
13390729,Fix javadoc in Api and Core modules.,"Let's fix Javadoc styles regarding the policy.

Startpoint is to remove modules from excludes 

{noformat}
./check-rules/checkstyle-disabled-modules.xml
{noformat}

and run 

{code:java}
mvn clean checkstyle:checkstyle-aggregate -P javadoc-public-api
{code}
",ignite-3,[],IGNITE,Bug,Major,2021-07-19 14:42:30,1
13389450,Support CDC for in-memory caches,"Right now CDC is supported only for persistent caches.
To support CDC feature for in-memory caches we should support enabling WAL for in-memory caches.

Only DataRecord is required for CDC so we can write only specific that types of records to the WAL.",IEP-59,[],IGNITE,Improvement,Major,2021-07-13 18:44:56,2
13389394,SQL tests for extension to write CDC data to Kafka,Tests should be extended to cover replication of SQL tables.,IEP-59,['extensions'],IGNITE,Improvement,Major,2021-07-13 13:37:48,2
13388647,Schema events processing refactoring.,"All table events with schema events are processed in TableManager listener.

Let's 
* Replace ConfigurationListener with ConfigurationNamedListListener to simplify the diff calculation between old/new configs.
* Register a separate per-table listener for schema events on table creation.",ignite-3,[],IGNITE,Improvement,Major,2021-07-09 13:31:14,1
13387935,Extended tests for extension to write CDC data to Kafka,Tests should be extended to cover REPLICATED vs. PARTITIONED caches.,IEP-59,[],IGNITE,Improvement,Major,2021-07-06 13:10:37,2
13385409,.NET: Build fails on 2.1.808 and other older SDKs,"* Install .NET SDK 2.1.808
* Build the project with build.ps1

Build fails due to inspection issues.",.NET,['platforms'],IGNITE,Bug,Blocker,2021-06-23 11:56:45,0
13385368,Develop thin client protocol for Ignite 3.0,"We need to develop thin client protocol, document a solution as IEP and discuss it on dev list  before we can start working on implementing it.",iep-76,['thin client'],IGNITE,Task,Major,2021-06-23 09:17:39,0
13384809,Schema update. Rename column.,"Implement evolution converters for rename column schema operation.

Configuration changes should trigger a new schema version adding to schema history.
Assumes, all nodes will use a new schema after the upgrade.
An old row can be upgraded on-fly using evolution converters.

",iep-54 ignite-3,[],IGNITE,Improvement,Major,2021-06-21 08:47:11,1
13383358,Schema update. Changing default value.,"Implement evolution converters for changing column default value operation.

Configuration changes should trigger a new schema version adding to schema history.
Assumes, all nodes will use a new schema after upgrade.
Old row can be upgraded on fly using evolution converters.",iep-54 ignite-3,[],IGNITE,Improvement,Major,2021-06-11 08:59:34,1
13383186,Investigate options for thin client marshalling in 3.0,We need to investigate available options for serialisation/deserialisation for 3.0 thin client protocol and propose those options for discussion on the dev list.,iep-75 ignite-3,['thin client'],IGNITE,Task,Major,2021-06-10 13:08:29,0
13382986,Schema update. Merge multiple converters stages.,"Assumed schema was updated a number of times and there are n >1 converters to apply.

Let's chain converters  to apply all at once rather then one-by-one having a row of intermediate version in between.

Also, opposite changes like  ""adding column A"" then ""remove column A"" or
""Changing column default"" then ""remove column A"" can be effectively omitted.",iep-54 ignite-3,['sql'],IGNITE,Improvement,Major,2021-06-09 15:10:19,1
13382985,Schema update. Add and remove column.,"Implement evolution converters for add/remove column schema operations.

Configuration changes should trigger a new schema version adding to schema history.
Assumes, all nodes will use a new schema after upgrade.
Old row can be upgraded on fly using evolution converters.

",iep-54 ignite-3,['sql'],IGNITE,Improvement,Major,2021-06-09 15:01:49,1
13382454,Save DataEntry index inside CDC state,CDC state should contain an index of DataEntry inside DataRecord to correctly failover.,IEP-59,[],IGNITE,Bug,Major,2021-06-07 11:37:17,2
13382188,.NET: Thin client fails to compute hash code for string and array keys,"String keys are not supported in BinaryHashCodeUtils. The following code throws ""Failed to compute hash code for object"" exception:

{code}
            var server = Ignition.Start();

            var client = Ignition.StartClient(new IgniteClientConfiguration
            {
                Endpoints = new[] {""127.0.0.1""},
                EnablePartitionAwareness = true
            });

            var cache = client.CreateCache<string, string>(""c"");
            cache.Put(""hello"", ""world"");
{code}",.NET,"['platforms', 'thin client']",IGNITE,Bug,Critical,2021-06-04 16:23:31,0
