id,summary,description,labels,components_name,project_name,issue_type_name,priority_name,created_date,assignee
13167388,Expose gradle configuration properties in config.xml to assist aligning Google Play Services / Firebase,"I am a full-time plugin developer.  Like many other plugins, I import Google Play Services dependencies in addition to Android Support libraries (appcompat-v7).

By far the biggest problem I encounter with my users is [Gradle conflicts|https://github.com/transistorsoft/cordova-background-geolocation-lt/issues?utf8=%E2%9C%93&q=android+build+error] due to multiple plugins importing different versions of {color:#333333}play-services / Firebase / com.android.support{color} libraries.

Many plugin authors do the wrong thing and simply use version "":+"", eg: [cordova-plugin-firebase|https://github.com/arnesson/cordova-plugin-firebase/blob/master/plugin.xml#L61-L67]].

Quite often, my solution for these users is to [edit platforms/android/project.properties|https://github.com/transistorsoft/cordova-background-geolocation-lt/issues/699#issuecomment-396083457]*_,_* which is not the best long-term solution, since this file is _volatile_.

What I've been doing since cordova@7.1.0 is [expose custom config properties in my plugins' plugin.xml|https://github.com/transistorsoft/cordova-background-geolocation-lt/blob/master/plugin.xml#L98-L101].  This is nice, but users must align their google-play / Firebase / Support dependencies [for each plugin that exposes these|https://github.com/transistorsoft/cordova-background-geolocation-lt#configuring-play-services-version] helpful properties (and not many plugins do).

 

What would *_really_* help, is if cordova-android could expose variables in the app's config.xml in the same manner as:
 * cdvCompileSdkVersion
 * cdvBuildToolsVersion
 * cdvMinSdkVersion

I would like to see the following properties added:
 * cdvGooglePlayServicesVersion
 * cdvSupportLibVersion

(Note:  cdvGooglePlayServicesVersion could be named cdvGoogleApiVersion as a more common name, since both Firebase and Google Play Services dependencies must be aligned to the same version.)

I would like to be able to access these properties in my plugin's [plugin.xml here|https://github.com/transistorsoft/cordova-background-geolocation-lt/blob/master/plugin.xml#L99]] instead of using my plugin's custom $GOOGLE_API_VERSION variable.

In a React Native app, which provides direct control over one's top-level build.gradle, we do it [like this|https://github.com/transistorsoft/rn-background-geolocation-demo/blob/master/android/build.gradle#L33-L38]].  3rd-party plugins then check for the existence of these Gradle Config Properties when importing their Google dependencies, [like this|https://github.com/transistorsoft/react-native-background-geolocation/blob/master/android/build.gradle#L33].

This technique is also recommend at android.developer.com in the document [Gradle Tips and Tricks|https://developer.android.com/studio/build/gradle-tips] (search ""project-wide properties"")

 ",build,['cordova-android'],CB,Improvement,Major,2018-06-21 13:01:00,0
13166090,cordova-ios Podfile template only escape first occurrence of single quote in the project name,The Podfile template escape the first occurrence of single quotes for project names when generating the Podfile. This will cause a syntax error in the Podfile since the target and project are single quoted strings. The solution is to escape the single quotes in the project name before writing them to the Podfile.,ios,['cordova-ios'],CB,Bug,Minor,2018-06-14 12:34:36,1
13165322,cordova-ios does not build with node 10.4.0,"The latest version of Node hangs the building process of cordova-ios during the PhaseScriptExecution. Furthermore with this version of Node in Cordova 8.0 the command

cordova requirements

fails during execution

FIX: These problems do not arise when using Node 8.11.2 (LTS) instead.",PhaseScriptExecution cordova cordova-ios ios node,['cordova-ios'],CB,Bug,Blocker,2018-06-11 13:05:57,2
13164902,Access-Control-Allow-Headers,"Hello,

I have one app with:

Cordova version: 8.0.0

cordova-ios version: 4.5.4

I had to install the plugin ""[cordova-plugin-wkwebview-engine|https://github.com/apache/cordova-plugin-wkwebview-engine]"" to solve a problem with the interface.

In android everything works correctly.

But in IOS when I make AJAX requests to my API I have the error:

 

XMLHttpRequest cannot load ....... Request header field Authorization is not allowed by Access-Control-Allow-Headers

 

In the API I have the following in place to allow CORS connections:
{code:java}
header('Access-Control-Allow-Headers: *');
header('Access-Control-Allow-Origin: *'); 
header('Access-Control-Allow-Methods: *');
{code}
In the config.xml I have this:
{code:java}
<access origin=""*"" />
<allow-intent href=""http://*/*"" />
<allow-intent href=""https://*/*"" />
<allow-intent href=""tel:*"" />
<allow-intent href=""sms:*"" />
<allow-intent href=""mailto:*"" />
<allow-intent href=""geo:*"" />

<feature name=""CDVWKWebViewEngine"">
<param name=""ios-package"" value=""CDVWKWebViewEngine"" />
</feature>

<preference name=""CordovaWebViewEngine"" value=""CDVWKWebViewEngine"" />{code}
and my AJAX requests are:
{code:java}
$.ajax({
  url: url,
  data: formData,
  type: 'post',
  dataType: ""json"",
  contentType: false,
  processData: false,
  success: function (respuesta) {
  }
});
{code}
And I have this meta:
{code:java}
<meta http-equiv=""Content-Security-Policy"" content=""default-src * gap:;font-src 'self' data:; style-src * 'unsafe-inline'; script-src * 'unsafe-inline' 'unsafe-eval'; media-src *; img-src * filesystem: data:"">
{code}
The strange thing is that without the plugin([cordova-plugin-wkwebview-engine|https://github.com/apache/cordova-plugin-wkwebview-engine]) it works fine, but I need the plugin obligatorily.

I am desperate and I do not know what to do anymore.
 any solution?",CORS WKWebView ajax cordova cordova-8.0.0 cordova-ios ios,"['cordova-ios', 'cordova-plugin-wkwebview-engine']",CB,Bug,Major,2018-06-08 11:39:16,3
13164175,iOS 11 UIViewAlertForUnsatisfiableConstraints Error when displaying Keyboard,"I am facing a problem with the iOS version of my project since I updated my cordova-ios version to 4.5.4 (and now with 4.6.0).

It happens anytime I click on an input element and the keyboard gets displayed. There is a constraint error that did not appear before and I don't know from where it comes from:
{code:java}
[LayoutConstraints] Unable to simultaneously satisfy constraints. Probably at least one of the constraints in the following list is one you don't want. Try this: (1) look at each constraint and try to figure out which you don't expect; (2) find the code that added the unwanted constraint or constraints and fix it. (Note: If you're seeing NSAutoresizingMaskLayoutConstraints that you don't understand, refer to the documentation for the UIView property translatesAutoresizingMaskIntoConstraints) (     ""<NSAutoresizingMaskLayoutConstraint:0x1c02995f0 h=-&- v=-&- _UIToolbarContentView:0x1035988e0.width == UIToolbar:0x103598690.width   (active)>"",     ""<NSLayoutConstraint:0x1c4282df0 H:|-(0)-[_UIButtonBarStackView:0x103652760]   (active, names: '|':_UIToolbarContentView:0x1035988e0 )>"",     ""<NSLayoutConstraint:0x1c4282d50 _UIButtonBarStackView:0x103652760.trailing == _UIToolbarContentView:0x1035988e0.trailing + 8   (active)>"",     ""<NSLayoutConstraint:0x1c428a910 H:|-(0)-[_UIModernBarButton:0x10366eaf0]   (active, names: '|':_UIButtonBarButton:0x10366e4a0 )>"",     ""<NSLayoutConstraint:0x1c428a960 H:[_UIModernBarButton:0x10366eaf0]-(>=8)-|   (active, names: '|':_UIButtonBarButton:0x10366e4a0 )>"",     ""<NSLayoutConstraint:0x1c428af50 H:|-(>=5)-[_UIModernBarButton:0x10366f560]   (active, names: '|':_UIButtonBarButton:0x10366f310 )>"",     ""<NSLayoutConstraint:0x1c428afa0 H:[_UIModernBarButton:0x10366f560]-(>=5)-|   (active, names: '|':_UIButtonBarButton:0x10366f310 )>"",     ""<NSLayoutConstraint:0x1c428b900 H:|-(8)-[_UIModernBarButton:0x10366fce0'Done']   (active, names: '|':_UIButtonBarButton:0x10366fa90 )>"",     ""<NSLayoutConstraint:0x1c428b950 H:[_UIModernBarButton:0x10366fce0'Done']-(0)-|   (active, names: '|':_UIButtonBarButton:0x10366fa90 )>"",     ""<NSLayoutConstraint:0x1c0298010 'UISV-canvas-connection' UILayoutGuide:0x1c41bdea0'UIViewLayoutMarginsGuide'.leading == _UIButtonBarButton:0x10366e4a0.leading   (active)>"",     ""<NSLayoutConstraint:0x1c0298060 'UISV-canvas-connection' UILayoutGuide:0x1c41bdea0'UIViewLayoutMarginsGuide'.trailing == _UIButtonBarButton:0x10366fa90.trailing   (active)>"",     ""<NSLayoutConstraint:0x1c0298ba0 'UISV-spacing' H:[_UIButtonBarButton:0x10366e4a0]-(0)-[UIView:0x10366f120]   (active)>"",     ""<NSLayoutConstraint:0x1c0298bf0 'UISV-spacing' H:[UIView:0x10366f120]-(0)-[_UIButtonBarButton:0x10366f310]   (active)>"",     ""<NSLayoutConstraint:0x1c0298c40 'UISV-spacing' H:[_UIButtonBarButton:0x10366f310]-(0)-[UIView:0x10366f8a0]   (active)>"",     ""<NSLayoutConstraint:0x1c0298c90 'UISV-spacing' H:[UIView:0x10366f8a0]-(0)-[_UIButtonBarButton:0x10366fa90]   (active)>"",     ""<NSLayoutConstraint:0x1c02996e0 'UIView-Encapsulated-Layout-Width' UIToolbar:0x103598690.width == 0   (active)>"",     ""<NSLayoutConstraint:0x1c4282fd0 'UIView-leftMargin-guide-constraint' H:|-(0)-[UILayoutGuide:0x1c41bdea0'UIViewLayoutMarginsGuide'](LTR)   (active, names: '|':_UIButtonBarStackView:0x103652760 )>"",     ""<NSLayoutConstraint:0x1c4282f30 'UIView-rightMargin-guide-constraint' H:[UILayoutGuide:0x1c41bdea0'UIViewLayoutMarginsGuide']-(0)-|(LTR)   (active, names: '|':_UIButtonBarStackView:0x103652760 )>"" )
{code}

After getting this error the APP keeps working fine. But in case I use the inAppBrowser plugin and display an input element on a page, after closing the browser and coming back to the APP it gets frozen.

I have tried by updating the Cordova iOS version and installing the cordova keyboard plugin with not result (different solutions suggested on different blogs).",bug,['cordova-ios'],CB,Bug,Major,2018-06-05 12:52:13,3
13161372,StatusBar Plugin does not work correctly on Samsung S9,"I have a cordova project and I installed the StatusBar plugin to color the status bar of the device in the Android platform. The plugin displays the correct status bar color if I run the project on an AVD (pic1), but when I run it on the device it does not appear to work.

I also noticed that when I run the project on device with the plug in uninstalled the view takes up the entire screen, but if I run it with the plugin installed there is black space between the app view and the top and bottom of the phone's nav bar and status bar (pic2).

Update:

When turned to portrait mode, the coloured status bar appears, but incorrectly (pic3).

Device: Samsung S9 running Android 8.0.0 (Oreo)
 Cordova version: 8.0.0
 StatusBar plugin version: 2.4.2
 Cordova whitelist plugin: 1.3.3

 

Index.js code:
{code:java}
var app = {
    initialize: function() { 
        document.addEventListener('deviceready', this.onDeviceReady.bind(this), false); 
    },
    onDeviceReady: function() { 
        this.receivedEvent('deviceready'); 
        StatusBar.backgroundColorByHexString(""#CF4D4D""); 
    },
    receivedEvent: function(id) { } 
}; 
app.initialize();
{code}",features plug-in plugin,"['cordova-android', 'cordova-plugin-statusbar']",CB,Bug,Major,2018-05-23 10:27:42,0
13157376,"Docs should show latest docs for Cordova 8, not 7","Right now the ""Latest"" docs point to Cordova 7.x, but it should be Cordova 8.x. This entails running: {{gulp newversion}}.",docs,['cordova-docs'],CB,Bug,Critical,2018-05-05 17:32:39,4
13157324,Build path changed and broke Visual Studio deployment process,"The *output path* for the built APK was like this on _cordova-android 6.3.0_ and *everything worked perfectly*:

{color:#14892c}/platforms/android/build/outputs/apk/android-debug.apk{color}

The new output path since _cordova-android 6.4.0_ now includes a debug subdir:

{color:#14892c}/platforms/android/build/outputs/apk/{color:#d04437}debug{color}/android-debug.apk{color}

{color:#333333}As a result, the APK can no longer be deployed to device nor emulator, nor debugged, nor run by any means in *Visual Studio 2017*.{color}

{color:#333333}If this change has been intentional to benefit the _Android Studio_ IDE, the Visual Studio (which includes far better support for Cordova apps) users are now totally lost.{color}

{color:#333333}*Android Studio does not provide a SINGLE menu item related to Apache Cordova. Breaking Visual Studio support in benefit of Android Studio is exactly the opposite that should be done. I hope this was not the case.*
{color}

{color:#333333}Kindly let me know how do we deploy an APK from Visual Studio now, even if it requires external hacks and workarounds to make it work like before. Thanks in advance.{color}",easyfix,['cordova-android'],CB,Bug,Major,2018-05-05 00:23:00,0
13153644,Cordova Android not building because Java 10,"When running {{cordova build android}} I get following error:
{code:java}
(node:11503) UnhandledPromiseRejectionWarning: CordovaError: Requirements check failed for JDK 1.8 or greater
    at /home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/lib/check_reqs.js:370:19
    at _fulfilled (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:854:54)
    at self.promiseDispatch.done (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:883:30)
    at Promise.promise.promiseDispatch (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:816:13)
    at /home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:624:44
    at runSingle (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:137:13)
    at flush (/home/myuser/Projects/cordovaIonicProject/platforms/android/cordova/node_modules/q/q.js:125:13)
    at process._tickCallback (internal/process/next_tick.js:176:11)
(node:11503) UnhandledPromiseRejectionWarning: Unhandled promise rejection. This error originated either by throwing inside of an async function without
a catch block, or by rejecting a promise which was not handled with .catch(). (rejection id: 1)
(node:11503) [DEP0018] DeprecationWarning: Unhandled promise rejections are deprecated. In the future, promise rejections that are not handled will terminate the Node.js process with a non-zero exit code.
{code}

I investigated a little bit and it seems that regex at {{./platforms/android/cordova/lib/check_reqs.js}}, line 220 doesnt recognize java version correctly. Problem is that {{javac --version}} outputs {{javac 10}} instead of assumed {{javac 1.10.0}}. Simple change in regex would fix this.

",cordova-8.0.0 cordova-android java linux,['cordova-android'],CB,Bug,Major,2018-04-19 10:15:14,0
13153596,Programming error in cordova-android check_reqs.js,"*Programming error in check_reqs.js, line 130*

programmer doesnt iterate through a directory for gradle, checks only for first entry

 

{{    var dirs = fs.readdirSync(androidStudioPath);}}
{{    if (dirs[0].split('-')[0] === 'gradle') {}}
{{         return path.join(androidStudioPath, dirs[0], 'bin', 'gradle');}}
{{     }}}

*working solution*

{{    var dirs = fs.readdirSync(androidStudioPath);}}
{{    for (var i = 0; i< dirs.length ; i++){}}
{{         if (dirs[i].split('-')[0] === 'gradle') }}
{{             return path.join(androidStudioPath, dirs[i], 'bin', 'gradle');}}
{{     }}}",easyfix,['cordova-android'],CB,Bug,Major,2018-04-19 06:15:01,0
