id,summary,description,labels,components_name,project_name,issue_type_name,priority_name,created_date,assignee
13389635,Update user guide according to new changes,"1. Add description for GPU on GCP
2. Add description for Configuration page
3. Update images where it is necessary",AWS AZURE Debian Front-end GCP RedHat pull-request-available,['DataLab Main'],DATALAB,Task,Major,2021-07-14 13:52:46,0
13389586,[Azure] Edge status does not changed on DataLab WEB UI after scheduler triggering,"*Preconditions:*
 # Environment is created

*Steps to reproduce:*
 # Stop edge node

*Actual result:*
 # Docker runs with 0
 # Status is still in Stopping on DataLab WEB UI 

*Expected result:*
 # Docker runs with 0
 # Status is in Stopped on DataLab WEB UI",AZURE Back-end Debian Known_issues(release2.5) RedHat pull-request-available,['DataLab Main'],DATALAB,Bug,Major,2021-07-14 09:27:41,1
13389380,Actual jar name should be retrieved without pointing particular version,During service deploying use  jars without its version.,AWS AZURE Debian DevOps GCP RedHat pull-request-available,['DataLab Main'],DATALAB,Task,Major,2021-07-13 11:47:07,2
13389181,[Library] Investigate how to retrieve lib list for EMR and for notebook,"EMR is based on RedHat, but notebook is on Debian.

And some lib is not available for Debian and like wise.

So, investigate how distinguish gaining available lib list between Debian and RedHat on one environment.",AWS AZURE Debian DevOps GCP,['DataLab Main'],DATALAB,Task,Minor,2021-07-12 15:46:07,2
13388556,[EMR] It is impossible to install library,"If install any library from apt/yum, pip group:
 * docker runs with 1
 * Lib status is stuck in 'Installing' on DataLab WebUI",AWS Debian DevOps RedHat pull-request-available,['DataLab Main'],DATALAB,Bug,Major,2021-07-09 07:30:43,2
13388392,Extend t-shirt size for GPU type,"|*GPU type*|*Month cost*|*t-shirt size*|*zone*|
|nvidia-tesla-t4 |$255.50|S|us-west-1b/us-west1a|
|nvidia-tesla-k80|$328|M|us-west-1b|
|nvidia-tesla-p4 |$438|L|us-central-1c|
|nvidia-tesla-p100 |$1,065.80|XL|us-west-1b/us-west1a|
|nvidia-tesla-v100 |$1,810.40|XXL|west-1b/us-west1a|",Debian Front-end GCP pull-request-available,['DataLab Main'],DATALAB,Task,Major,2021-07-08 12:49:48,0
13388389,[Front-end] Show library group depending on Notebook type,"Related Compute should have the same lib list as a notebook.  Please accustom it between DeepLearning and Dataproc.

Perhaps there are differences between other notebooks and related Computes.",AWS AZURE Debian Front-end GCP RedHat pull-request-available,['DataLab Main'],DATALAB,Task,Minor,2021-07-08 12:45:04,0
13388387,[Back-end] Show library group depending on Notebook type,"Related Compute should have the same lib list as a notebook.  Please accustom it between DeepLearning and Dataproc.

Perhaps there are differences between other notebooks and related Computes.",AWS AZURE Back-end Debian GCP RedHat,['DataLab Main'],DATALAB,Task,Minor,2021-07-08 12:43:14,1
13388371,[GCP][DeepLearning] Investigate appropriate way of spark creation,"Spark creation uses notebook image.

But for DeepLearning we use cloud image for creation. And during Apache Standalone cluster creation error shows up:
{code:java}
Requested disk size cannot be smaller than the image size
{code}",Debian DevOps GCP,['DataLab Main'],DATALAB,Task,Minor,2021-07-08 11:23:51,3
13388368,Do not locate cuda driver DEB package in /home/datalab-user,"If create any Notebook based on GPU (GCP) the cuda driver DEB package is located in / home/datalab-user and visualises in Notebook UI.

So, do not locate cuda driver DEB package in /home/datalab-user.",Debian DevOps GCP,['DataLab Main'],DATALAB,Task,Minor,2021-07-08 11:16:16,3
13388366,[GCP] Investigate why DeepLearning creation fails with error connection reset by peer,"It was during auto-test running on GCP.

Investigate why DeepLearning creation fails with error connection reset by peer",DevOps GCP pull-request-available,['DataLab Main'],DATALAB,Task,Minor,2021-07-08 11:05:45,3
13388137,[Configuration] Sensitive information is editable in editor on DataLab WEB UI,"*AWS*

Do not rewrite the following values:
 +1. Billing:+
 1.1 Mongo username in two blocks

+2. Provisioning:+
 2.1. adminConnectors should be adminConnectors, but not ***********Connectors - *do not change it by default*
 2.2 ldap user
 2.3 keycloak user

+3. Self-service+
 3.1. guacamole username

*GCP*
 +1. Billing:+
 1.1 Mongo username

+2. Provisioning:+
 2.1. adminConnectors should be adminConnectors, but not ***********Connectors - *do not change it by default*
 2.2 ldap user
 2.3 keycloak user

+3. Self-service+
 3.1. guacamole username",AWS AZURE Back-end Debian GCP RedHat pull-request-available,['DataLab Main'],DATALAB,Bug,Critical,2021-07-07 09:15:35,1
