id,summary,description,labels,components_name,project_name,issue_type_name,priority_name,created_date,assignee
13391987,New k3s version breaks kubernetes test,"New k3s version changes the permissions of volume mounts to root only:

[https://github.com/k3s-io/k3s/issues/3704]

I've created a PR to revert k3s to the older version until we decide what to do.",pull-request-available pull_request_available,[],HDDS,Bug,Minor,2021-07-26 23:41:45,0
13391832,Reduce retry in Kubernetes test,"_kubernetes_ tests wait for cluster startup, checking some conditions with retry.  In worst case all conditions are checked 100 times with 3 seconds delay, so the test may take 15 minutes to fail.",pull-request-available,['test'],HDDS,Improvement,Minor,2021-07-26 08:29:14,1
13391786,Disable failing kubernetes test,"_kubernetes_ check is failing in CI at {{ozone}}.  It is probably related to persistent volumes.  I propose to disable the failing test temporarily, until it can be fixed.

Last successful run: https://github.com/apache/ozone/runs/3137129344
First failed run: https://github.com/apache/ozone/runs/3140001398

SCM init container fails to start due to:

{code}
Unable to create directory /data/metadata specified in configuration setting ozone.metadata.dirs
{code}",pull-request-available,"['kubernetes', 'test']",HDDS,Task,Major,2021-07-26 05:18:12,1
13391581,Install OS-specific flekszible,"{{kubernetes.sh}} installs {{flekszible}} for Linux, even on other platforms.",pull-request-available,['kubernetes'],HDDS,Bug,Major,2021-07-23 14:14:25,1
13391348,Intermittent failure in TestReplicationManager#testMovePrerequisites,"On multiple runs, testMovePrerequisites sometimes fails with an AssertionError:
{code:java}
java.lang.AssertionError
	at org.junit.Assert.fail(Assert.java:87)
	at org.junit.Assert.assertTrue(Assert.java:42)
	at org.junit.Assert.assertTrue(Assert.java:53)
	at org.apache.hadoop.hdds.scm.container.TestReplicationManager.testMovePrerequisites
(TestReplicationManager.java:1331)
{code}",pull-request-available,['SCM'],HDDS,Bug,Major,2021-07-22 12:30:46,2
13391278,Fix stream() and link() method in ContainerStateMachine,"The link() method is missing `Override` annotation.

The stream() method has a bug: the parsing of request.message is inconsistent with the ContainerStateMachine#startTransaction(), which will be called during the close of the stream. This caused the stream closing issue in our POC.

 

Here is the details about the issue in stream() method, by diving deep into the Ratis streaming implementation: 

 

When initializing the stream, we need pass a headerMessage to DataStreamApi#stream().
{code:java}
DataStreamOutput stream(ByteBuffer headerMessage, RoutingTable routingTable); 
{code}
This message will be used again when calling the DataStreamOutput#close, by the primary DataNode, in DataStreamManageMent#startTransaction.

It is wrapped in a Raft FORWARD request, then unwrapped in the RaftServerImpl#SubmitClientRequestAsync. The filter here is doing the unwrap job.
{code:java}
TransactionContext context = stateMachine.startTransaction(filterDataStreamRaftClientRequest(request));{code}
Then it hands the headerMessage to ContainerStateMachine#startTransaction.

 

In ContainerStateMachine#startTransaction, it's expecting the request.message being a ContainerCommandRequestMessage.

However, in ContainerStateMachine#stream, it's expecting the same request.message being a ContainerCommandRequestProto.

So we have to change the ContainerStateMachine#stream to match ContainerStateMachine#startTransaction.",pull-request-available,[],HDDS,Sub-task,Critical,2021-07-22 07:58:32,3
13391268,Client and server should support stream setup.,"Before we add new BlockDataStreamOutput, we need to support stream setup. In this way, we can get the DataStreamOutput instance through xceiverClient.

",pull-request-available,[],HDDS,Sub-task,Major,2021-07-22 07:17:35,4
13391241,s3g bucket list failed when there is non-english key name,"Caused by: java.nio.BufferOverflowException
        at java.nio.HeapByteBuffer.put(HeapByteBuffer.java:189)
        at java.nio.ByteBuffer.put(ByteBuffer.java:859)
        at org.apache.hadoop.ozone.s3.util.ContinueToken.encodeToString(ContinueToken.java:77)
        at org.apache.hadoop.ozone.s3.endpoint.BucketEndpoint.list(BucketEndpoint.java:200)
        at sun.reflect.GeneratedMethodAccessor17.invoke(Unknown Source)
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
        at java.lang.reflect.Method.invoke(Method.java:498)
        at org.glassfish.jersey.server.model.internal.ResourceMethodInvocationHandlerFactory.lambda$static$0(ResourceMethodInvocationHandlerFactory.java:76)
        at org.glassfish.jersey.server.model.internal.AbstractJavaResourceMethodDispatcher$1.run(AbstractJavaResourceMethodDispatcher.java:148)
        at org.glassfish.jersey.server.model.internal.AbstractJavaResourceMethodDispatcher.invoke(AbstractJavaResourceMethodDispatcher.java:191)
        at org.glassfish.jersey.server.model.internal.JavaResourceMethodDispatcherProvider$ResponseOutInvoker.doDispatch(JavaResourceMethodDispatcherProvider.java:200)
        at org.glassfish.jersey.server.model.internal.AbstractJavaResourceMethodDispatcher.dispatch(AbstractJavaResourceMethodDispatcher.java:103)
        at org.glassfish.jersey.server.model.ResourceMethodInvoker.invoke(ResourceMethodInvoker.java:493)
        at org.glassfish.jersey.server.model.ResourceMethodInvoker.apply(ResourceMethodInvoker.java:415)
        at org.glassfish.jersey.server.model.ResourceMethodInvoker.apply(ResourceMethodInvoker.java:104)
        at org.glassfish.jersey.server.ServerRuntime$1.run(ServerRuntime.java:277)
        at org.glassfish.jersey.internal.Errors$1.call(Errors.java:272)
        at org.glassfish.jersey.internal.Errors$1.call(Errors.java:268)
        at org.glassfish.jersey.internal.Errors.process(Errors.java:316)
        at org.glassfish.jersey.internal.Errors.process(Errors.java:298)
        at org.glassfish.jersey.internal.Errors.process(Errors.java:268)
        at org.glassfish.jersey.process.internal.RequestScope.runInScope(RequestScope.java:289)
        at org.glassfish.jersey.server.ServerRuntime.process(ServerRuntime.java:256)
        at org.glassfish.jersey.server.ApplicationHandler.handle(ApplicationHandler.java:703)
        at org.glassfish.jersey.servlet.WebComponent.serviceImpl(WebComponent.java:416)",pull-request-available,[],HDDS,Bug,Major,2021-07-22 03:48:49,5
13391111,Bump jetty version to 9.4.41.v20210516,Please see: https://github.com/apache/ozone/pull/2449,pull-request-available,[],HDDS,Improvement,Major,2021-07-21 10:53:14,6
13391108,Old versions of location in OmKeyLocationInfoGroup causes OOM of OM,"Currently the keyLocation of different versions is stored redundantly in OmKeyInfo. 
 * OmKeyInfo:
 ** keyLocationVersions: List<OmKeyLocationInfoGroup>  stores different versions of information in a list.
 * OmKeyLocationInfoGroup:
 **  locationVersionMap: Map<Long, List<OmKeyLocationInfo>> stores different versions of location in a map.

If the versions are large, the redundent location is causing the large GC overhead for OM, in our cluster, the OM even crashes because of OOM.

This ticket is to remove the redundant location information to keep OM healthy.

Attached the OmKeyInfo of a key with 549 versions.",pull-request-available,[],HDDS,Improvement,Major,2021-07-21 10:17:43,7
13391053,EC: Add padding and generate parity if the last stripe is not full,"When last stripe is not full, we need to pad with zeros and generate the parity as we generate parity at stripe level.",pull-request-available,[],HDDS,Sub-task,Major,2021-07-21 05:05:04,8
13390913,Bump Apache Ratis version to 2.1,Please see: https://github.com/apache/ozone/pull/2443,pull-request-available,[],HDDS,Improvement,Major,2021-07-20 11:35:39,6
13390903,Avoid long sleep in TestPeriodicVolumeChecker,TestPeriodicVolumeChecker requires at least 130 seconds due to two long sleeps.,pull-request-available,['test'],HDDS,Bug,Major,2021-07-20 10:52:55,1
13390816,Refactor BlockOutputStream,"We propose to make BlockOutputStream abstract and move out the Ratis specific code out.  Then, other implementations such as ECBlockOutputStream can extend it and reuse the common parts.",pull-request-available,['Ozone Client'],HDDS,Improvement,Major,2021-07-20 03:57:55,9
13390689,Multi-raft style placement with permutations for offline data generator,Please see: https://github.com/apache/ozone/pull/2434,pull-request-available,[],HDDS,Improvement,Major,2021-07-19 12:06:29,6
13390688,Move old objects to delete table on overwrite,"HDDS-5243 was a patch for omitting key locations for clients on reading. But the same warning of large response size observed in our cluster for putting data. This is harmful in terms of retry storm, as hadoop-rpc handles this large-response-exception as retry-able exception. Thus, RetryInvocationHandler retries, despite it cannot be recovered by retry, for 15 times, receiving large response message exceeding default limit of RPC message size 128MB as follows.

{quote}
2021-06-21 19:23:10,717 [IPC Server handler 65 on default port 9862] WARN org.apache.hadoop.ipc.Server: Large response size 134538349 for call Call#2037538 Retry#15 org.apache.hadoop.ozone.om.protocol.OzoneManagerProtocol.submitRequest from 10.192.17.172:34070
2021-06-21 19:23:10,722 [IPC Server handler 65 on default port 9862] WARN org.apache.hadoop.ipc.Server: IPC Server handler 65 on default port 9862, call Call#2037538 Retry#15 org.apache.hadoop.ozone.om.protocol.OzoneManagerProtocol.submitRequest from 10.192.17.172:34070: output error
2021-06-21 19:23:10,722 [IPC Server handler 65 on default port 9862] INFO org.apache.hadoop.ipc.Server: IPC Server handler 65 on default port 9862 caught an exception
java.nio.channels.AsynchronousCloseException
        at java.nio.channels.spi.AbstractInterruptibleChannel.end(AbstractInterruptibleChannel.java:205)
        at sun.nio.ch.SocketChannelImpl.write(SocketChannelImpl.java:478)
        at org.apache.hadoop.ipc.Server.channelIO(Server.java:3642)
        at org.apache.hadoop.ipc.Server.channelWrite(Server.java:3594)
        at org.apache.hadoop.ipc.Server.access$1700(Server.java:139)
        at org.apache.hadoop.ipc.Server$Responder.processResponse(Server.java:1657)
        at org.apache.hadoop.ipc.Server$Responder.doRespond(Server.java:1727)
{quote}

Suggestion in HDDS-5393 was wrong and it shall be fixed by making old blocks eligible for deletion service, moving to deletion table. It is only needed for normal object-put, while not needed for MultipartUpload objects, if I understand correctly. 

Keeping old blocks and key locations after overwrite might be intended for supporting [object versioning API|https://docs.aws.amazon.com/AmazonS3/latest/API/API_ListObjectVersions.html], but IMO current design will not scale more than, say, thousands of objects. The order of the size of value in key table will be in O( n(version) * n(blocks) ), which might easily exceed current limit of RPC message (128MB by default) or intended value size in RocksDB. Although current implementation is effective for concurrency control, object versioning should be implemented in some different way.",pull-request-available,['OM'],HDDS,Improvement,Major,2021-07-19 11:53:34,10
13390597,ReplicationConfig#getDefault is hardcoded with RatisReplicationConfig,"ReplicationConfig#getDefault is currently hardcoded with RatisReplicationConfig.

Instead of that, it should load the configurations and create respective replication config accordingly.",pull-request-available,['Ozone Client'],HDDS,Sub-task,Major,2021-07-19 04:02:48,8
13390559,Replication Manager should process containers synchronously for tests,"The method ReplicationManager.processContainersNow() only wakes up the thread, and returns before the containers have been processed.

This results in all RM tests having a sleep(100) after all calls to this method.

With a small refactor to RM, we can avoid this sleep. After this change all tests run about 100ms faster, and the code in the tests is slightly better.",pull-request-available,[],HDDS,Improvement,Major,2021-07-18 21:47:33,11
13390174,s3_compatbility_check.sh/aws compatibility issues,"*Summary*:
 The smoketest/s3/s3_compatbility_check.sh script was incomplete. I added the rest of the robot scripts and got 4 failures.

*Details*:

I added the following smoketest/s3 robot files to the s3 compatibility test script:
 awss3.robot
 bucketcreate.robot
 bucketdelete.robot
 buckethead.robot
 bucketlist.robot

The only s3 robot files I didn't include are:
 __init__.robot
 commonawslib.robot
 boto3.robot

I get the following failures from the new files. All except #4 fail because our error messages differ from aws.

 

 

*1. ""Create bucket with invalid bucket name""* 
 It expects: ""InvalidBucketName"" but gets:
 _""An error occurred (BucketAlreadyExists) when calling the CreateBucket operation: The requested bucket name is not available. The bucket namespace is shared by all users of the system. Please select a different name and try again.""_

It currently uses ""bucket_1"" as the bad bucket name. ""Changing that name to BadBucketName_1"", causes it to pass.

It seems even though the ""bucket_1"" name is invalid, it collides with some existing name first, and generates a different error.

I'm thinking the bad bucket name should be randomized.

 

 

*2. ""Delete non-existent bucket""* 
 It expects: ""NoSuchBucket"" but gets:
 _""An error occurred (AccessDenied) when calling the DeleteBucket operation: Access Denied""_

So the error message here is different than the one returned by our s3gateway. Do we want to fix the gateway or change the test?

 

 

*3. ""Head Bucket not existent""*
 It is expecting a 404 exit and a ""Not Found"" message. Instead it gets a 400 exit code and this message:
 _""An error occurred (400) when calling the HeadBucket operation: Bad Request""_

Again, do we fix the gateway or change the test?

 

 

*4. ""Test Multipart Upload Put With Copy and range with IfModifiedSince""*

Without any of my changes the current s3 script fails on this test, where a file is uploaded and then tested with ""IfModifiedSince"".

The original file hasn't been modified, so the upload is expected to fail. But on AWS, the upload succeeds.  The problem is that the test sets the ""IfModifiedSince"" into  the future.

In that case AWS ignores the Precondition and does the upload even though ""IfModifiedSince"" is false.

This is a known issue with how the API works on AWS: [https://forums.aws.amazon.com/thread.jspa?threadID=88985]

Currently the test sets the ""IfModifiedSince"" time to a full day in the future. To fix it, we could modify the test to set the ""IfModifiedSince"" time to be a few seconds after the creation time, and pause till that time has passed.",newbie,"['S3', 'test']",HDDS,Bug,Minor,2021-07-16 21:25:33,0
13390168,"services.s3g.environment.OZONE-SITE.XML_ozone.om.enable.filesystem.paths must be a string, number or null","Encountered error when I launch a docker compose cluster with compose/ozone. Just updated Docker for Mac to the latest (3.5.2).

{code}
ozone-1.2.0-SNAPSHOT/compose/ozone
▶ docker compose up -d --scale datanode=3
WARN[0000] The OZONE_OM_METADATA_LAYOUT variable is not set. Defaulting to a blank string.
WARN[0000] The OZONE_OM_ENABLE_FILESYSTEM_PATHS variable is not set. Defaulting to a blank string.
WARN[0000] The OZONE_REPLICATION_FACTOR variable is not set. Defaulting to a blank string.
WARN[0000] The OZONE_SAFEMODE_MIN_DATANODES variable is not set. Defaulting to a blank string.
services.s3g.environment.OZONE-SITE.XML_ozone.om.enable.filesystem.paths must be a string, number or null
{code}
",pull-request-available,['test'],HDDS,Bug,Major,2021-07-16 20:47:28,12
13390069,Inject a Clock into Replication Manager to allow timeouts to be tested,"Replication Manager current uses Time.monotonicNow() in a few places to check if a pending command should be timed out. Currently, this is difficult to test without adding sleeps in the tests. We should inject a Clock object to use rather than making calls to SystemTime to allow tests more flexibility.",pull-request-available,['SCM'],HDDS,Improvement,Major,2021-07-16 14:38:11,11
13390009,OM shutdown when creating key with malformed characters,"In OzoneManagerStateMachine.runCommand, if there is a Runtime exception, OM will be terminated.

In our case, the user would like to create an object with malformed characters in keyName, and the following error happened and throws an InvalidPathException, which is a Runtime Exception causing the OM's shutdown.

Normally this wouldn't happen, since a user can not easily create an invalid keyName with UTF-8. It happened in our environment because our OM started with the property of ""file.encoding"" and ""sun.jnu.encoding"" set to ""ANSI_X3.4-1968"", and it's easy for the user to write a invalid keyName.

This issue can be avoided when running in a good environment, but it's still not reasonable that a client create key operation causing the shutdown of OM.

This ticket is to check the keyName if it fits the current encoding of OM, if not just return the OMException of ""INVALID_KEY_NAME"".",pull-request-available,[],HDDS,Bug,Major,2021-07-16 09:51:48,7
13389995,Add metrics in SCM block deleting service,"This task is to add ""block command send"" and ""block command complete"" two metrics in SCMBlockDeletingService to measure the block deletion speed. ",pull-request-available,[],HDDS,Improvement,Major,2021-07-16 08:59:21,5
13389991,Add link() method to ContainerStateMachine,Add link() method to ContainerStateMachine for Ratis streaming.,pull-request-available,['Ozone Datanode'],HDDS,Sub-task,Major,2021-07-16 08:45:22,3
